Disease;Symptoms;Source
2Q37 Deletion Syndrome;['2q37 deletion syndrome is a disorder caused by the deletion of a small piece of chromosome 2.2q37 deletion syndrome describes a disorder in which one or multiple of 3 sub-bands', '2q37.1', '2q37.2', 'and 2q37.3', 'of the last band of one of the chromosome 2s long arms are deleted. the first report of this disorder was in 1989.'];http://dbpedia.org/resource/2q37_deletion_syndrome
2Q37 Monosomy;['2q37 monosomy is a rare genetic disorder caused by a deletion of a segment at the end of chromosome 2.'];http://dbpedia.org/resource/2q37_monosomy
3-Hydroxyacyl-Coenzyme A Dehydrogenase Deficiency;"['3-hydroxyacyl-coenzyme a dehydrogenase deficiency (hadh deficiency) is a rare condition that prevents the body from converting certain fats to energy', 'particularly during fasting. normally', 'through a process called fatty acid oxidation', 'several enzymes work in a step-wise fashion to metabolize fats and convert them to energy. people with 3-hydroxyacyl-coenzyme a dehydrogenase deficiency have inadequate levels of an enzyme required for a step that metabolizes groups of fats called medium chain fatty acids and short chain fatty acids; for this reason this disorder is sometimes called medium- and short-chain 3-hydroxyacyl-coenzyme a dehydrogenase (m/schad) deficiency.']";http://dbpedia.org/resource/3-hydroxyacyl-coenzyme_A_dehydrogenase_deficiency
3-M Syndrome;['3-m syndrome (alternative names: dolichospondylic dysplasia', 'gloomy face syndrome and le merrer syndrome) is a rare hereditary growth retardation syndrome. the name 3-m originates from the initials of the three authors miller', 'mckusick and malvaux who first reported the syndrome in literature. major symptoms of 3m syndrome are dwarfism', 'facial dysmorphia and skeletal abnormalities. no signs of mental retardation are reported. 3-m syndrome is thought to be inherited as an autosomal recessive genetic trait.'];http://dbpedia.org/resource/3-M_syndrome
3-Methylcrotonyl-Coa Carboxylase Deficiency;['3-methylcrotonyl-coa carboxylase deficiency (3mcc deficiency)', 'also known as 3-methylcrotonylglycinuria or bmcc deficiency is an inherited disorder in which the body is unable to process certain proteins properly. people with this disorder have inadequate levels of an enzyme that helps break down proteins containing the amino acid leucine. this condition affects an estimated 1 in 50,000 individuals worldwide.'];http://dbpedia.org/resource/3-Methylcrotonyl-CoA_carboxylase_deficiency
3-Methylglutaconic Aciduria;"[""3-methylglutaconic aciduria (mga) is used to describe at least five disorders that impair the body's ability to make energy in the mitochondria. as a result of this impairment"", '3-methylglutaconic acid and 3-methylglutaric acid build up and can be detected in the urine. 3-methylglutaconic acid is classified as an organic acid. the double carboxylic acid functions are the principal cause of the strength of this acid. 3-methylglutaconic acid can be detected by the presence of the acid function and the double connection that involves reactivity with some specific substances.']";http://dbpedia.org/resource/3-Methylglutaconic_aciduria
3C Syndrome;['3c syndrome', 'also known as ccc dysplasia', 'craniocerebellocardiac dysplasia or ritscherschinzel syndrome', 'is a rare condition', 'whose symptoms include heart defects', 'cerebellar hypoplasia', 'and cranial dysmorphism. it was first described in the medical literature in 1987 by ritscher and schinzel', 'for whom the disorder is sometimes named.'];http://dbpedia.org/resource/3C_syndrome
3Q29 Microdeletion Syndrome;['3q29 microdeletion syndrome is a rare genetic disorder resulting from the deletion of a segment of chromosome 3. this syndrome was first described in 2005.'];http://dbpedia.org/resource/3q29_microdeletion_syndrome
45,X/46,Xy Mosaicism;['45,x/46,xy mosaicism', 'also known as x0/xy mosaicism and mixed gonadal dysgenesis', 'is a rare disorder of sex development in humans associated with sex chromosome aneuploidy and mosaicism of the y chromosome. this is called a mosaic karyotype because', 'like tiles in mosaic floors or walls', 'there is more than one type of cell.'];http://dbpedia.org/resource/45,X/46,XY_mosaicism
48, Xxxx;['xxxx syndrome (also called tetrasomy x', 'quadruple x', 'or 48', 'xxxx) is a rare chromosomal disorder caused by the presence of four x chromosomes instead of two x chromosomes. this condition occurs only in females', 'as there are no y chromosomes present. tetrasomy x was first described in 1961', 'and since then approximately 100 cases have been reported worldwide. approximately 60 females have been described in medical literature with this condition.'];http://dbpedia.org/resource/48,_XXXX
49, Xxxxx;['xxxxx syndrome (also called pentasomy x or 49', 'xxxxx) is a type of aneuploidy (an abnormal number of chromosomes) which results in the presence of three additional x chromosomes. the condition was first described in 1963. it is characterized by severe intellectual disability', 'short stature and abnormalities to the head and face. as these features can be seen in other conditions', 'karyotyping must be carried out to confirm diagnosis. there have been cases of xxxxx syndrome being misdiagnosed as down syndrome.'];http://dbpedia.org/resource/49,_XXXXX
49, Xxxxy Syndrome;['49', 'xxxxy syndrome is an extremely rare aneuploidic sex chromosomal abnormality. it occurs in approximately 1 out of 85,000 to 100,000 males.'];http://dbpedia.org/resource/49,_XXXXY_syndrome
5-Alpha-Reductase Deficiency;['5-reductase deficiency (5-ard) is an autosomal recessive intersex condition caused by a mutation of the 5 reductase type ii gene.'];http://dbpedia.org/resource/5-alpha-reductase_deficiency
6-Phosphogluconate Dehydrogenase Deficiency;['6-phosphogluconate dehydrogenase deficiency (6pgd deficiency)', 'or partial deficiency', 'is an autosomal hereditary disease characterized by abnormally low levels of 6-phosphogluconate dehydrogenase (6pgd)', 'a metabolic enzyme involved in the pentose phosphate pathway. it is very important in the metabolism of red blood cells (erythrocytes). 6pdg deficiency affects less than 1% of the population', 'and studies suggest that there may be race variant involved in many of the reported cases. although it is similar', '6pdg deficiency is not linked to glucose-6-phosphate dehydrogenase deficiency', 'as they are located on different chromosomes. however', 'a few people have had both of these metabolic diseases.'];http://dbpedia.org/resource/6-phosphogluconate_dehydrogenase_deficiency
6-Pyruvoyltetrahydropterin Synthase Deficiency;['6-pyruvoyltetrahydropterin synthase deficiency is an autosomal recessive disorder that causes malignant hyperphenylalaninemia due to tetrahydrobiopterin deficiency.it belongs to the rare diseases. it is a recessive disorder that is accompanied by hyperphenylalaninemia. commonly reported symptoms are initial truncal hypotonia', 'subsequent appendicular hypertonia', 'bradykinesia', 'cogwheel rigidity', 'generalized dystonia', 'and marked diurnal fluctuation. other reported clinical features include difficulty in swallowing', 'oculogyric crises', 'somnolence', 'irritability', 'hyperthermia', 'and seizures. chorea', 'athetosis', 'hypersalivation', 'rash with eczema', 'and sudden death have also been reported. patients with mild phenotypes may deteriorate if given folate antagonists such as methotrexate', 'which can interfe'];http://dbpedia.org/resource/6-Pyruvoyltetrahydropterin_synthase_deficiency
8P23.1 Duplication Syndrome;['8p23.1 duplication syndrome is a rare genetic disorder caused by a duplication of a region from human chromosome 8. this duplication syndrome has an estimated prevalence of 1 in 64,000 births  and is the reciprocal of the 8p23.1 deletion syndrome. the 8p23.1 duplication is associated with a variable phenotype including one or more of speech delay', 'developmental delay', 'mild dysmorphism', 'with prominent forehead and arched eyebrows', 'and congenital heart disease (chd).'];http://dbpedia.org/resource/8p23.1_duplication_syndrome
9Q34 Deletion Syndrome;['9q34 deletion syndrome', 'also known as kleefstra syndrome', 'is a rare genetic disorder. terminal deletions of chromosome 9q34 have been associated with childhood hypotonia', 'a distinctive facial appearance and developmental disability. the facial features typically described include arched eyebrows', 'small head circumference', 'midface hypoplasia', 'prominent jaw and a pouting lower lip. individuals with this disease may often have speech impediments', 'such as speech delays. other characteristics of this disease include: epilepsy', 'congenital and urogenetic defects', 'microcephaly', 'corpulence', 'and psychiatric disorders. from analysis of chromosomal breakpoints', 'as well as gene sequencing in suggestive cases', 'kleefstra and colleagues identified ehmt1 as the causative gene. this gene is responsible for '];http://dbpedia.org/resource/9q34_deletion_syndrome
Aa Amyloidosis;['aa amyloidosis is a form of amyloidosis', 'a disease characterized by the abnormal deposition of fibers of insoluble protein in the extracellular space of various tissues and organs. in aa amyloidosis', 'the deposited protein is serum amyloid a protein (saa)', 'an acute-phase protein which is normally soluble and whose plasma concentration is highest during inflammation.'];http://dbpedia.org/resource/AA_amyloidosis
Aagenaes Syndrome;['aagenaes syndrome is a syndrome characterised by congenital hypoplasia of lymph vessels', 'which causes lymphedema of the legs and recurrent cholestasis in infancy', 'and slow progress to hepatic cirrhosis and giant cell hepatitis with fibrosis of the portal tracts. it is also called cholestasis-lymphedema syndrome (cls).'];http://dbpedia.org/resource/Aagenaes_syndrome
Aarskog–Scott Syndrome;['aarskogscott syndrome is a rare disease inherited as autosomal dominant or x-linked and characterized by short stature', 'facial abnormalities', 'skeletal and genital anomalies. the aarskogscott syndrome (aas) is also known as the aarskog syndrome', 'faciodigitogenital syndrome', 'shawl scrotum syndrome and faciogenital dysplasia.'];http://dbpedia.org/resource/Aarskog–Scott_syndrome
Aase Syndrome;['aase syndrome or aasesmith syndrome is a rare inherited disorder characterized by anemia with some joint and skeletal deformities. aase syndrome is thought to be an autosomal recessive inherited disorder. the genetic basis of the disease is not known. the anemia is caused by underdevelopment of the bone marrow', 'which is where blood cells are formed. it is named after the american paediatricians jon morton aase and david weyhe smith', 'who characterized it in 1968.'];http://dbpedia.org/resource/Aase_syndrome
Abcd Syndrome;['abcd syndrome is the acronym for albinism', 'black lock', 'cell migration disorder of the neurocytes of the gut', 'and sensorineural deafness. it has been found to be caused by mutation in the endothelin b receptor gene (ednrb).'];http://dbpedia.org/resource/ABCD_syndrome
Abdallat–Davis–Farrage Syndrome;"['abdallatdavisfarrage syndrome is a form of phakomatosis', ""a disease of the central nervous system accompanied by skin abnormalities. it is characterized by the out of the ordinary pigment of skin that is abnormal to one's genetics or the color perceived on a basis.. the condition is named after the team of medical professionals who first wrote it up"", 'describing the appearance of the syndrome in a family from jordan. it was characterized in 1980 by adnan abdallat', 'a jordanian doctor.']";http://dbpedia.org/resource/Abdallat–Davis–Farrage_syndrome
Abderhalden–Kaufmann–Lignac Syndrome;['abderhaldenkaufmannlignac syndrome (akl syndrome)', 'also called abderhalden-lignac-kaufmann disease or nephropathic cystinosis', 'is an autosomal recessive renal disorder of childhood comprising cystinosis and renal rickets.'];http://dbpedia.org/resource/Abderhalden–Kaufmann–Lignac_syndrome
Abdominal Compartment Syndrome;['abdominal compartment syndrome occurs when the abdomen becomes subject to increased pressure. specific cause of abdominal compartment syndrome is not known', 'although some causes can be sepsis and severe abdominal trauma. increasing pressure reduces blood flow to abdominal organs and impairs pulmonary', 'cardiovascular', 'renal', 'and gastro-intestinal (gi) function', 'causing multiple organ dysfunction syndrome and death.'];http://dbpedia.org/resource/Abdominal_compartment_syndrome
Abdominal Epilepsy;['abdominal epilepsy', 'also known as autonomic epilepsy', 'is a rare condition most frequently found in children', 'consisting of gastrointestinal (gi) disturbances caused by epileptiform seizure activity. it has been described as a type of temporal lobe epilepsy. responsiveness to anticonvulsants can aid in the diagnosis. most published medical literature dealing with abdominal epilepsy is in the form of individual case reports. a 2005 review article found a total of 36 cases described in the medical literature.'];http://dbpedia.org/resource/Abdominal_epilepsy
Abdominal Mass;['an abdominal mass is any localized enlargement or swelling in the human abdomen. depending on its location', 'the abdominal mass may be caused by an enlarged liver (hepatomegaly)', 'enlarged spleen (splenomegaly)', 'protruding kidney', 'a pancreatic mass', 'a retroperitoneal mass (a mass in the posterior of the peritoneum)', 'an abdominal aortic aneurysm', 'or various tumours', 'such as those caused by abdominal carcinomatosis and omental metastasis. the treatments depend on the cause', 'and may range from watchful waiting to radical surgery.'];http://dbpedia.org/resource/Abdominal_mass
Abdominal Obesity;"['abdominal obesity', 'also known as central obesity', ""is when excessive abdominal fat around the stomach and abdomen has built up to the extent that it is likely to have a negative impact on health. there is a strong correlation between central obesity and cardiovascular disease. abdominal obesity is not confined only to the elderly and obese subjects. abdominal obesity has been linked to alzheimer's disease as well as other metabolic and vascular diseases. visceral and central abdominal fat and waist circumference show a strong association with type 2 diabetes.""]";http://dbpedia.org/resource/Abdominal_obesity
Abdominal Pain;['abdominal pain', 'also known as stomach pain', 'is a common symptom associated with both temporary', 'non-serious disorders and more serious conditions. common causes of pain in the abdomen include gastroenteritis and irritable bowel syndrome. in a third of cases the exact cause is unclear. about 10% of people have a more serious underlying condition such as appendicitis', 'leaking or ruptured abdominal aortic aneurysm', 'diverticulitis', 'or ectopic pregnancy. determining the cause can be difficult', 'because many diseases can cause this symptom.'];http://dbpedia.org/resource/Abdominal_pain
Abdominal Trauma;['abdominal trauma is an injury to the abdomen. it may be blunt or penetrating and may involve damage to the abdominal organs. signs and symptoms include abdominal pain', 'tenderness', 'rigidity', 'and bruising of the external abdomen. abdominal trauma presents a risk of severe blood loss and infection. diagnosis may involve ultrasonography', 'computed tomography', 'and peritoneal lavage', 'and treatment may involve surgery. injury to the lower chest may cause splenic or liver injuries.'];http://dbpedia.org/resource/Abdominal_trauma
Abdominal Wall Defect;['abdominal wall defects are a type of congenital defect that allows the stomach', 'the intestines', 'or other organs to protrude through an unusual opening that forms on the abdomen. during the development of the fetus', 'many unexpected changes occur inside the womb. specifically the stomach', 'intestines', 'or other organs begin to develop outside the fetus abdomen through the abnormal hole in the abdomen and', 'as development progresses', 'the abdominal wall eventually encloses these organs. in some cases of defect either the umbilical opening is too oversized or has developed improperly which allows the organs to remain outside or to squeeze through the abdominal wall.'];http://dbpedia.org/resource/Abdominal_wall_defect
Aberrant Subclavian Artery;['aberrant subclavian artery', 'or aberrant subclavian artery syndrome', 'is a rare anatomical variant of the origin of the right or left subclavian artery. this abnormality is the most common congenital vascular anomaly of the aortic arch.'];http://dbpedia.org/resource/Aberrant_subclavian_artery
Ablepharon Macrostomia Syndrome;['ablepharon macrostomia syndrome (ams) is an extremely rare autosomal recessive genetic disorder characterized by malformations of the skull', 'skin', 'fingers and genitals. affected individuals may also have malformations of the nipples and abdominal wall. younger individuals might experience language difficulties', 'and in some instances mental retardation is known.'];http://dbpedia.org/resource/Ablepharon_macrostomia_syndrome
Abnormal Posturing;['abnormal posturing is an involuntary flexion or extension of the arms and legs', 'indicating severe brain injury. it occurs when one set of muscles becomes incapacitated while the opposing set is not', 'and an external stimulus such as pain causes the working set of muscles to contract. the posturing may also occur without a stimulus. since posturing is an important indicator of the amount of damage that has occurred to the brain', 'it is used by medical professionals to measure the severity of a coma with the glasgow coma scale (for adults) and the pediatric glasgow coma scale (for infants).'];http://dbpedia.org/resource/Abnormal_posturing
Abrasion (Dental);['abrasion is the loss of tooth structure by mechanical forces from a foreign element. if this force begins at the cementoenamel junction', 'then progression of tooth loss can be rapid since enamel is very thin in this region of the tooth. once past the enamel', 'abrasion quickly destroys the softer dentin and cementum structures. the teeth most commonly affected are premolars and canines.'];http://dbpedia.org/resource/Abrasion_(dental)
Abrasion (Medical);['in dermatology', 'an abrasion is a wound caused by superficial damage to the skin', 'no deeper than the epidermis. it is less severe than a laceration', 'and bleeding', 'if present', 'is minimal. mild abrasions', 'also known as grazes or scrapes', 'do not scar or bleed', 'but deep abrasions may lead to the formation of scar tissue. a more traumatic abrasion that removes all layers of skin is called an avulsion. abrasion injuries most commonly occur when exposed skin comes into moving contact with a rough surface', 'causing a grinding or rubbing away of the upper layers of the epidermis.'];http://dbpedia.org/resource/Abrasion_(medical)
Abruzzo–Erickson Syndrome;['some characteristics of abruzzoerickson syndrome include deafness', 'protruding ears', 'coloboma', 'a cleft palate or palatal rugosity', 'and short stature. it was characterized in 1977.'];http://dbpedia.org/resource/Abruzzo–Erickson_syndrome
Abscess Of Thymus;"['an abscess of the thymus (also known as ""dubois\' abscesses"") is a condition that is one of many possible causes of cysts in the mediastinum. it can present with chest pain behind the sternum. it can be associated with congenital syphilis. although the thymus is usually classified with the immune system', 'thymic diseases are classified with endocrine disorders in icd-9 and icd-10.']";http://dbpedia.org/resource/Abscess_of_thymus
Absconditella;['absconditella is a genus of fungi within the stictidaceae family.'];http://dbpedia.org/resource/Absconditella
Absent Adrenal Gland;['absent adrenal gland is a rare condition where the adrenal gland is absent at birth. it should not be confused with adrenal insufficiency or congenital adrenal hyperplasia', 'where the gland is present but may not be functioning adequately.'];http://dbpedia.org/resource/Absent_adrenal_gland
Acaena;['acaena is a genus of about 100 species of mainly evergreen', 'creeping herbaceous perennial plants and subshrubs in the family rosaceae', 'native mainly to the southern hemisphere', 'notably new zealand', 'australia and south america', 'but with a few species extending into the northern hemisphere', 'north to hawaii (a. exigua) and california (a. pinnatifida).'];http://dbpedia.org/resource/Acaena
Acaena Exigua;['acaena exigua is an extinct species of flowering plant in the rose family known by the common name liliwai. it was endemic to hawaii', 'where it was known from kauai and west maui. it had not been seen or collected since 1957 and was feared extinct until 1997', 'when one plant was discovered in a remote montane bog on maui. the plant died in 2000', 'and the species is now considered extinct.'];http://dbpedia.org/resource/Acaena_exigua
Acalculia;"['acalculia (not to be confused with dyscalculia) is an acquired impairment in which patients have difficulty performing simple mathematical tasks', 'such as adding', 'subtracting', 'multiplying and even simply stating which of two numbers is larger. acalculia is distinguished from dyscalculia in that acalculia is acquired late in life due to neurological injury such as stroke', 'while dyscalculia is a specific developmental disorder first observed during the acquisition of mathematical knowledge. the name comes from the greek ""a"" meaning ""not"" and latin ""calculare""', 'which means ""to count"".']";http://dbpedia.org/resource/Acalculia
Acalles;['acalles is a genus of beetles in the curculionidae family. beetles of this genus can be found in southeastern north america living among leaf litter or dead branches and vines. there are 473 species in the acalles genus.'];http://dbpedia.org/resource/Acalles
Acanthamoeba Keratitis;['acanthamoeba keratitis is a rare disease in which amoebae invade the cornea of the eye. it may result in permanent visual impairment or blindness.'];http://dbpedia.org/resource/Acanthamoeba_keratitis
Acanthocheilonemiasis;['acanthocheilonemiasis is a rare tropical infectious disease caused by a parasite known as acanthocheilonema perstans. it can cause skin rashes', 'abdominal and chest pains', 'muscle and joint pains', 'neurological disorders and skin lumps. it is mainly found in africa. the parasite is transmitted through the bite of small flies. studies show that there are elevated levels of white blood cells.'];http://dbpedia.org/resource/Acanthocheilonemiasis
Acantholichen;"['acantholichen is a fungal genus in the family hygrophoraceae. a monotypic genus it contains a single species', 'the basidiolichen acantholichen pannariodes', 'discovered originally in costa rica in 1998. this species has a bluish', 'gelatinous thallus', 'and a fine', 'white powdery bloom covering the hairy upper surface; this surface is said to resemble ""an unshaven chin"".']";http://dbpedia.org/resource/Acantholichen
Acanthoma Fissuratum;"['acanthoma fissuratum (also known as ""granuloma fissuratum""', 'and ""spectacle frame acanthoma"") is a cutaneous condition characterized by local thickening of the skin in response to pressure caused by an eyeglass frame.']";http://dbpedia.org/resource/Acanthoma_fissuratum
Acanthothecis;['acanthothecis is a genus of lichenized fungi in the family graphidaceae. the genus was circumscribed by frederick edward clements in 1909.'];http://dbpedia.org/resource/Acanthothecis
Acanthotrema;['acanthotrema is a genus of lichenized fungi in the family thelotremataceae. this is a monotypic genus', 'containing the single species acanthotrema brasilianum.'];http://dbpedia.org/resource/Acanthotrema
Acarapis Woodi;['acarapis woodi (honey bee tracheal mite) is an internal parasite of honey bees', 'originally described from the isle of wight. acarapis woodi mites live and reproduce in the tracheae of the bees. these mites are arachnids like spiders. the female mite attaches 57 eggs to the tracheal walls', 'where the larvae hatch and develop in 1115 days to adult mites. the mites parasitize young bees up to two weeks old through the tracheal tube openings. there', 'they pierce the tracheal tube walls with their mouthparts and feed on the haemolymph of the bees. more than a hundred mites can populate the tracheae and weaken the bees. the mites are generally less than 175 micrometres (0.007 in) long', 'and can only be seen and identified under a microscope.'];http://dbpedia.org/resource/Acarapis_woodi
Acarosporaceae;['the acarosporaceae are a family of fungi in the order acarosporales. members of this family have a widespread distribution', 'and are lichenized with green algae. according to a 2008 estimate', 'the family contains 11 genera and 183 species.'];http://dbpedia.org/resource/Acarosporaceae
Acarosporales;['the acarosporales are an order of fungi in the class lecanoromycetes. phylogenetic analyses conducted using the sequences of both the protein-coding gene rpb2 as well as nuclear ribosomal genes place this order within the subclass acarosporomycetidae.'];http://dbpedia.org/resource/Acarosporales
