Disease;Symptoms;Source
Acromegaly;['enlarged hands and feet,coarsened, enlarged facial features ,coarse, oily, thickened skin,excessive sweating and body odor,small outgrowths of skin tissue (skin tags),fatigue and muscle weakness,a deepened, husky voice due to enlarged vocal cords and sinuses,severe snoring due to obstruction of the upper airway,impaired vision,headaches,enlarged tongue,pain and limited joint mobility,menstrual cycle irregularities in women,erectile dysfunction in men,enlarged liver, heart, kidneys, spleen and other organs,increased chest size (barrel chest),'];"https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222"""
Actinic keratosis;['rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter,flat to slightly raised patch or bump on the top layer of skin,in some cases, a hard, wartlike surface, ,color as varied as pink, red or brown,itching or burning in the affected area,'];"https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969"""
Acute coronary syndrome;['chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning,pain radiating from the chest to the shoulders, arms, upper abdomen, back, neck or jaw,nausea or vomiting,indigestion,shortness of breath (dyspnea),sudden, heavy sweating (diaphoresis),lightheadedness, dizziness or fainting,unusual or unexplained fatigue,feeling restless or apprehensive,'];"https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136"""
Acute kidney failure;['decreased urine output, although occasionally urine output remains normal,fluid retention, causing swelling in your legs, ankles or feet,drowsiness,shortness of breath,fatigue,confusion,nausea,seizures or coma in severe cases,chest pain or pressure,'];"https://www.mayoclinic.org/diseases-conditions/kidney-failure/basics/definition/con-20024029"""
Acute liver failure;['yellowing of your skin and eyeballs (jaundice),pain in your upper right abdomen,abdominal swelling,nausea,vomiting,a general sense of feeling unwell (malaise),disorientation or confusion,sleepiness,'];"https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863"""
Acute lymphocytic leukemia;['bleeding from the gums,bone pain,fever,frequent infections,frequent or severe nosebleeds,lumps caused by swollen lymph nodes in and around the neck, underarm, abdomen or groin,pale skin,shortness of breath,weakness, fatigue or a general decrease in energy,'];"https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/basics/definition/con-20042915"""
Acute myelogenous leukemia (AML);['fever,bone pain,lethargy and fatigue,shortness of breath,pale skin,frequent infections,easy bruising,unusual bleeding, such as frequent nosebleeds and bleeding from the gums,'];"https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/basics/definition/con-20043431"""
Acute sinusitis;['drainage of a thick, yellow or greenish discharge from the nose or down the back of the throat (postnasal drainage),nasal obstruction or congestion, causing difficulty breathing through your nose,pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over,', 'ear pressure,headache,aching in your upper jaw and teeth,reduced sense of smell and taste,cough, which might be worse at night,bad breath (halitosis),fatigue,fever,'];"https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671"""
Addison's disease;['extreme fatigue,weight loss and decreased appetite,darkening of your skin (hyperpigmentation),low blood pressure, even fainting,salt craving,low blood sugar (hypoglycemia),nausea, diarrhea or vomiting,abdominal pain,muscle or joint pains,irritability,depression,body hair loss or sexual dysfunction in women,'];"https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293"""
Adenomyosis;['heavy or prolonged menstrual bleeding,severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea),menstrual cramps that last throughout your period and worsen as you get older,pain during intercourse,blood clots that pass during your period,'];"https://www.mayoclinic.org/diseases-conditions/adenomyosis/basics/definition/con-20024740"""
Adjustment disorders;['feeling sad, hopeless or not enjoying things you used to enjoy,frequent crying,worrying or feeling anxious, nervous, jittery or stressed out,trouble sleeping,lack of appetite,difficulty concentrating,feeling overwhelmed,difficulty functioning in daily activities,withdrawing from social supports,avoiding important things such as going to work or paying bills,suicidal thoughts or behavior,'];"https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224"""
Adnexal tumors;['ovaries,fallopian tubes,connective tissue around the ovaries or fallopian tubes,'];"https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053"""
Adrenal cancer;['perched on top of each of your kidneys, your adrenal glands produce hormones that help regulate your metabolism, immune system, blood pressure and other essential functions. although small, these glands dictate much of what happens in your body.'];"https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026"""
Adrenoleukodystrophy;['muscle spasms, seizures, trouble swallowing, loss of hearing, trouble with language comprehension, impaired vision, hyperactivity, paralysis, coma, deterioration of fine motor control, crossed eyes, weight loss, vomiting'];"https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/basics/definition/con-20028957"""
Adult attention-deficit/hyperactivity disorder (ADHD);['impulsiveness,disorganization and problems prioritizing,poor time management skills,problems focusing on a task,trouble multitasking,excessive activity or restlessness,poor planning,low frustration tolerance,frequent mood swings,problems following through and completing tasks,hot temper,trouble coping with stress,'];"https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878"""
Adult Still's disease;"[""fever. you might have a daily fever of at least 102 f (38.9 c) for a week or longer. the fever usually peaks in the late afternoon or early evening. you might have two fever spikes daily, with your temperature returning to normal in between.,rash. a salmon-pink rash might come and go with the fever. the rash usually appears on your trunk, arms or legs.,sore throat. this is one of the first symptoms of adult still's disease. the lymph nodes in your neck might be swollen and tender.,achy and swollen joints. your joints especially your knees and wrists might be stiff, painful and inflamed. ankles, elbows, hands and shoulders might also ache. the joint discomfort usually lasts at least two weeks.,muscle pain. muscular pain usually ebbs and flows with the fever, but the pain can be severe enough to disrupt your daily activities.,""]";"https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907"""
Age spots (liver spots);['are flat, oval areas of increased pigmentation,are usually tan, brown or black,occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back,'];"https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859"""
Agoraphobia;['leaving home alone,crowds or waiting in line,enclosed spaces, such as movie theaters, elevators or small stores,open spaces, such as parking lots, bridges or malls,using public transportation, such as a bus, plane or train,', 'fear or anxiety almost always results from exposure to the situation,your fear or anxiety is out of proportion to the actual danger of the situation,you avoid the situation, you need a companion to go with you, or you endure the situation but are extremely distressed,you experience significant distress or problems with social situations, work or other areas in your life because of the fear, anxiety or avoidance,your phobia and avoidance usually lasts six months or longer,'];"https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987"""
Airplane ear;['moderate discomfort or pain in your ear,feeling of fullness or stuffiness in your ear,muffled hearing or slight to moderate hearing loss,', 'severe pain,pressure in your ear similar to being underwater,moderate to severe hearing loss,ringing in your ear (tinnitus),spinning sensation (vertigo),vomiting resulting from vertigo,bleeding from your ear,'];"https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701"""
Albinism;['freckles,moles, with or without pigment moles without pigment are generally pink-colored,large freckle-like spots (lentigines),the ability to tan,'];"https://www.mayoclinic.org/diseases-conditions/albinism/basics/definition/con-20029935"""
Alcohol intolerance;['facial redness (flushing),warm, red, itchy bumps on the skin (hives),worsening of preexisting asthma,runny or stuffy nose,low blood pressure,nausea and vomiting,diarrhea,'];"https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/basics/definition/con-20034907"""
Alcohol poisoning;"[""confusion,vomiting,seizures,slow breathing (less than eight breaths a minute),irregular breathing (a gap of more than 10 seconds between breaths),blue-tinged skin or pale skin,low body temperature (hypothermia),passing out (unconsciousness) and can't be awakened,""]";"https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386"""
Alcohol use disorder;['12 ounces (355 milliliters) of regular beer (about 5 percent alcohol),8 to 9 ounces (237 to 266 milliliters) of malt liquor (about 7 percent alcohol),5 ounces (148 milliliters) of unfortified wine (about 12 percent alcohol),1.5 ounces (44 milliliters) of 80-proof hard liquor (about 40 percent alcohol),'];"https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/basics/definition/con-20020866"""
Alcoholic hepatitis;['loss of appetite,nausea and vomiting,abdominal tenderness,fever, which is often low-grade,fatigue and weakness,weight loss,', 'fluid accumulation in your abdomen (ascites),confusion and behavior changes due to a buildup of toxins normally broken down and eliminated by the liver,kidney and liver failure,'];"https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388"""
Allergies;['sneezing,itching of the nose, eyes or roof of the mouth,runny, stuffy nose,watery, red or swollen eyes (conjunctivitis),', 'tingling in the mouth,swelling of the lips, tongue, face or throat,hives,anaphylaxis,', 'a large area of swelling (edema) at the sting site,itching or hives all over the body,cough, chest tightness, wheezing or shortness of breath,anaphylaxis,', 'hives,itchy skin,rash,facial swelling,wheezing,anaphylaxis,', 'itch,redden,flake or peel,'];"https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497"""
Alzheimer's disease;"[""alzheimer's disease is a progressive disease that destroys memory and other important mental functions. at first, someone with alzheimer's disease may notice mild confusion and difficulty remembering. eventually, people with the disease may even forget important people in their lives and undergo dramatic personality changes.""]";"https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447"""
Ambiguous genitalia;"['an enlarged clitoris, which may resemble a small penis,closed labia, or labia that include folds and resemble a scrotum,lumps that feel like testes in the fused labia,', ""a condition in which the narrow tube that carries urine and semen (urethra) doesn't fully extend to the tip of the penis (hypospadias),an abnormally small penis with the urethral opening closer to the scrotum,the absence of one or both testicles in what appears to be the scrotum,undescended testicles and an empty scrotum that has the appearance of a labia with or without a micropenis,"", '']";"https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/basics/definition/con-20026345"""
Ameloblastoma;['ameloblastoma is a rare, noncancerous (benign) tumor that develops most often in the jaw near the molars. ameloblastoma begins in the cells that form the protective enamel lining on your teeth.'];"https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278"""
Amenorrhea;['milky nipple discharge,hair loss,headache,vision changes,excess facial hair,pelvic pain,acne,'];"https://www.mayoclinic.org/diseases-conditions/amenorrhea/basics/definition/con-20031561"""
Amnesia;['difficulty learning new information following the onset of amnesia (anterograde amnesia),difficulty remembering past events and previously familiar information (retrograde amnesia),'];"https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360"""
Amniotic fluid embolism;['sudden shortness of breath,excess fluid in the lungs (pulmonary edema),sudden low blood pressure,sudden failure of the heart to effectively pump blood (cardiovascular collapse),life-threatening problems with blood clotting (disseminated intravascular coagulopathy),altered mental status, such as anxiety,chills,rapid heart rate or disturbances in the rhythm of the heart rate,fetal distress, such as a slow heart rate,seizures,coma,sudden fetal heart rate abnormalities,bleeding from the uterus, incision or intravenous (iv) sites,', ''];"https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/basics/definition/con-20035462"""
Ampullary cancer;['ampullary (am-poo-la-ree) cancer is a rare cancer that forms in an area of your digestive system called the ampulla of vater. the ampulla of vater is located where your bile duct and pancreatic duct join and empty into your small intestine.'];"https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066"""
Amyloidosis;['swelling of your ankles and legs,severe fatigue and weakness,shortness of breath,numbness, tingling or pain in your hands or feet, especially pain in your wrist (carpal tunnel syndrome),diarrhea, possibly with blood, or constipation,unintentional, significant weight loss,an enlarged tongue,skin changes, such as thickening or easy bruising, and purplish patches around the eyes,an irregular heartbeat,difficulty swallowing,'];"https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178"""
Amyotrophic lateral sclerosis;['difficulty walking or doing your normal daily activities,tripping and falling,weakness in your leg, feet or ankles,hand weakness or clumsiness,slurred speech or trouble swallowing,muscle cramps and twitching in your arms, shoulders and tongue,difficulty holding your head up or keeping good posture,'];"https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022"""
Anal cancer;['bleeding from the anus or rectum,pain in the area of the anus,a mass or growth in the anal canal,anal itching,'];"https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140"""
Anal fissure;['pain, sometimes severe, during bowel movements,pain after bowel movements that can last up to several hours,bright red blood on the stool or toilet paper after a bowel movement,itching or irritation around the anus,a visible crack in the skin around the anus,a small lump or skin tag on the skin near the anal fissure,'];"https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424"""
Anal fistula;['anal fistula is the medical term for an infected tunnel that develops between the skin and the muscular opening at the end of the digestive tract (anus).'];"https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871"""
Anal itching;"[""anal itching is severe or persistent,you have anal bleeding,the anal area seems to be infected,you can't figure out what's causing a persistent itch,"", '']";"https://www.mayoclinic.org/diseases-conditions/anal-itching/basics/definition/con-20023539"""
Anaphylaxis;['skin reactions, including hives and itching and flushed or pale skin,low blood pressure (hypotension),constriction of your airways and a swollen tongue or throat, which can cause wheezing and trouble breathing,a weak and rapid pulse,nausea, vomiting or diarrhea,dizziness or fainting,'];"https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468"""
Anemia;['fatigue,weakness,pale or yellowish skin,irregular heartbeats,shortness of breath,dizziness or lightheadedness,chest pain,cold hands and feet,headache,'];"https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360"""
Aneurysms;['the aorta the major blood vessel carrying blood from your heart to vital organs (aortic aneurysm),the section of aorta that passes through your abdomen (abdominal aortic aneurysm),the section of aorta that passes through your chest (thoracic aortic aneurysm),blood vessels supplying blood to your brain (brain aneurysm),blood vessels in other parts of your body, such as your legs, groin or neck (peripheral aneurysm),'];"https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633"""
Angelman syndrome;['developmental delays, including no crawling or babbling at 6 to 12 months,intellectual disability,no speech or minimal speech,difficulty walking, moving or balancing well (ataxia),frequent smiling and laughter,happy, excitable personality,', 'seizures, usually beginning between 2 and 3 years of age,stiff or jerky movements,small head size, with flatness in the back of the head (microbrachycephaly),tongue thrusting,hair, skin and eyes that are light in color (hypopigmentation),unusual behaviors, such as hand flapping and arms uplifted while walking,'];"https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621"""
Angina;['chest pain or discomfort,pain in your arms, neck, jaw, shoulder or back accompanying chest pain,nausea,fatigue,shortness of breath,sweating,dizziness,'];"https://www.mayoclinic.org/diseases-conditions/angina/basics/definition/con-20031194"""
Angiosarcoma;['a raised, purplish area of skin that looks like a bruise,a bruise-like lesion that grows larger over time,a lesion that may bleed when scratched or bumped,swelling in the surrounding skin,'];"https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244"""
Anhidrosis;['little or no perspiration,dizziness,muscle cramps or weakness,flushing,feeling hot,', 'over most of your body (generalized),in a single area,in scattered patches,'];"https://www.mayoclinic.org/diseases-conditions/anhidrosis/basics/definition/con-20033498"""
Ankylosing spondylitis;['the joint between the base of your spine and your pelvis (sacroiliac),the vertebrae in your lower back,the places where your tendons and ligaments attach to bones (entheses), mainly in your spine, but sometimes along the back of your heel,the cartilage between your breastbone and ribs,your hip and shoulder joints,'];"https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808"""
Anorexia nervosa;['extreme weight loss,thin appearance,abnormal blood counts,fatigue,insomnia,dizziness or fainting,bluish discoloration of the fingers,hair that thins, breaks or falls out,soft, downy hair covering the body,absence of menstruation,constipation,dry or yellowish skin,intolerance of cold,irregular heart rhythms,low blood pressure,dehydration,osteoporosis,swelling of arms or legs,'];"https://www.mayoclinic.org/diseases-conditions/anorexia/symptoms-causes/syc-20353591"""
Anorgasmia;"[""lifelong anorgasmia. this means you've never experienced an orgasm.,acquired anorgasmia. this means you used to have orgasms, but now experience difficulty reaching climax.,situational anorgasmia. this means you are able to orgasm only during certain circumstances, such as during oral sex or with a certain partner. most women can't reach orgasm through vaginal penetration alone.,generalized anorgasmia. this means you aren't able to orgasm in any situation or with any partner.,""]";"https://www.mayoclinic.org/diseases-conditions/anorgasmia/basics/definition/con-20033544"""
Anterior prolapse (cystocele);"[""a feeling of fullness or pressure in your pelvis and vagina,increased discomfort when you strain, cough, bear down or lift,a feeling that you haven't completely emptied your bladder after urinating,repeated bladder infections,pain or urinary leakage during sexual intercourse,in severe cases, a bulge of tissue that protrudes through your vaginal opening and may feel like sitting on an egg,""]";"https://www.mayoclinic.org/diseases-conditions/cystocele/basics/definition/con-20026175"""
Anthrax;['a raised, itchy bump resembling an insect bite that quickly develops into a painless sore with a black center,swelling in the sore and nearby lymph glands,'];"https://www.mayoclinic.org/diseases-conditions/anthrax/symptoms-causes/syc-20356203"""
Antibiotic-associated diarrhea;['loose stools,more-frequent bowel movements,'];"https://www.mayoclinic.org/diseases-conditions/antibiotic-associated-diarrhea/symptoms-causes/syc-20352231"""
Antiphospholipid syndrome;"['blood clots in your legs (dvt). the clots can travel to your lungs (pulmonary embolism).,repeated miscarriages or stillbirths. other complications of pregnancy include premature delivery and high blood pressure during pregnancy (preeclampsia).,stroke. a stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases.,transitory ischemic attack (tia). similar to a stroke, a tia usually lasts only a few minutes and causes no permanent damage.,rash. some people develop a red rash with a lacy, net-like pattern (livedo reticularis).,', 'neurological symptoms. chronic headaches, including migraines; dementia and seizures are possible when a blood clot blocks blood flow to parts of your brain.,cardiovascular disease. antiphospholipid syndrome can damage heart valves.,,bleeding. some people have a decrease in blood cells needed for clotting (platelets). if you have this condition (thrombocytopenia), you might have few or no symptoms.,however, if your platelet count drops too low, you might have episodes of bleeding, particularly from your nose and gums. you can also bleed into your skin, which will appear as patches of small red spots (petechiae).,,']";"https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831"""
Antisocial personality disorder;['disregard for right and wrong,persistent lying or deceit to exploit others,being callous, cynical and disrespectful of others,using charm or wit to manipulate others for personal gain or personal pleasure,arrogance, a sense of superiority and being extremely opinionated,recurring problems with the law, including criminal behavior,repeatedly violating the rights of others through intimidation and dishonesty,impulsiveness or failure to plan ahead,hostility, significant irritability, agitation, aggression or violence,lack of empathy for others and lack of remorse about harming others,unnecessary risk-taking or dangerous behavior with no regard for the safety of self or others,poor or abusive relationships,failure to consider the negative consequences of behavior or learn from them,being consistently irresponsible and repeatedly failing to fulfill work or financial obligations,', 'aggression toward people and animals,destruction of property,deceitfulness,theft,serious violation of rules,'];"https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928"""
Anxiety;"['feeling nervous, restless or tense,having a sense of impending danger, panic or doom,having an increased heart rate,breathing rapidly (hyperventilation),sweating,trembling,feeling weak or tired,trouble concentrating or thinking about anything other than the present worry,having trouble sleeping,experiencing gastrointestinal (gi) problems,having difficulty controlling worry,having the urge to avoid things that trigger anxiety,', ""agoraphobia (ag-uh-ruh-foe-be-uh) is a type of anxiety disorder in which you fear and often avoid places or situations that might cause you to panic and make you feel trapped, helpless or embarrassed.,anxiety disorder due to a medical condition includes symptoms of intense anxiety or panic that are directly caused by a physical health problem.,generalized anxiety disorder includes persistent and excessive anxiety and worry about activities or events even ordinary, routine issues. the worry is out of proportion to the actual circumstance, is difficult to control and affects how you feel physically. it often occurs along with other anxiety disorders or depression.,panic disorder involves repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks). you may have feelings of impending doom, shortness of breath, chest pain, or a rapid, fluttering or pounding heart (heart palpitations). these panic attacks may lead to worrying about them happening again or avoiding situations in which they've occurred.,selective mutism is a consistent failure of children to speak in certain situations, such as school, even when they can speak in other situations, such as at home with close family members. this can interfere with school, work and social functioning.,separation anxiety disorder is a childhood disorder characterized by anxiety that's excessive for the child's developmental level and related to separation from parents or others who have parental roles.,social anxiety disorder (social phobia) involves high levels of anxiety, fear and avoidance of social situations due to feelings of embarrassment, self-consciousness and concern about being judged or viewed negatively by others.,specific phobias are characterized by major anxiety when you're exposed to a specific object or situation and a desire to avoid it. phobias provoke panic attacks in some people.,substance-induced anxiety disorder is characterized by symptoms of intense anxiety or panic that are a direct result of abusing drugs, taking medications, being exposed to a toxic substance or withdrawal from drugs.,other specified anxiety disorder and unspecified anxiety disorder are terms for anxiety or phobias that don't meet the exact criteria for any other anxiety disorders but are significant enough to be distressing and disruptive.,""]";"https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961"""
Aortic aneurysm;['abdominal aortic aneurysm. an abdominal aortic aneurysm occurs along the part of the aorta that passes through the abdomen. ,thoracic aortic aneurysm. a thoracic aortic aneurysm occurs along the part of the aorta that passes through the chest cavity. ,', ''];"https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/basics/definition/con-20032573"""
Aortic dissection;['sudden severe chest or upper back pain, often described as a tearing, ripping or shearing sensation, that radiates to the neck or down the back,loss of consciousness,shortness of breath,sudden difficulty speaking, loss of vision, weakness or paralysis of one side of your body, similar to those of a stroke,weak pulse in one arm compared with the other,'];"https://www.mayoclinic.org/diseases-conditions/aortic-dissection/basics/definition/con-20032930"""
Aortic valve disease;"[""aortic valve disease is a condition in which the valve between the main pumping chamber of your heart (left ventricle) and the main artery to your body (aorta) doesn't work properly. aortic valve disease may be a condition present at birth (congenital heart disease), or it may result from other causes.""]";"https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117"""
Aortic valve regurgitation;['fatigue and weakness, especially when you increase your activity level,shortness of breath with exercise or when you lie down,swollen ankles and feet,chest pain (angina), discomfort or tightness, often increasing during exercise,lightheadedness or fainting,irregular pulse (arrhythmia),heart murmur,sensations of a rapid, fluttering heartbeat (palpitations),'];"https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129"""
Aortic valve stenosis;['abnormal heart sound (heart murmur) heard through a stethoscope,chest pain (angina) or tightness with activity,feeling faint or dizzy or fainting with activity,shortness of breath, especially when you have been active,fatigue, especially during times of increased activity,heart palpitations sensations of a rapid, fluttering heartbeat,not eating enough (mainly in children with aortic valve stenosis),not gaining enough weight (mainly in children with aortic valve stenosis),'];"https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139"""
Aphasia;"[""speak in short or incomplete sentences,speak in sentences that don't make sense,substitute one word for another or one sound for another,speak unrecognizable words,not understand other people's conversation,write sentences that don't make sense,""]";"https://www.mayoclinic.org/diseases-conditions/aphasia/basics/definition/con-20027061"""
Aplastic anemia;['fatigue,shortness of breath with exertion,rapid or irregular heart rate,pale skin,frequent or prolonged infections,unexplained or easy bruising,nosebleeds and bleeding gums,prolonged bleeding from cuts,skin rash,dizziness,headache,'];"https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015"""
Appendicitis;['sudden pain that begins on the right side of the lower abdomen,sudden pain that begins around your navel and often shifts to your lower right abdomen,pain that worsens if you cough, walk or make other jarring movements,nausea and vomiting,loss of appetite,low-grade fever that may worsen as the illness progresses,constipation or diarrhea,abdominal bloating,'];"https://www.mayoclinic.org/diseases-conditions/appendicitis/basics/definition/con-20023582"""
ARDS;['severe shortness of breath,labored and unusually rapid breathing,low blood pressure,confusion and extreme tiredness,'];"https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576"""
Arteriosclerosis / atherosclerosis;['if you have atherosclerosis in your heart arteries, you may have symptoms, such as chest pain or pressure (angina).,if you have atherosclerosis in the arteries leading to your brain, you may have signs and symptoms such as sudden numbness or weakness in your arms or legs, difficulty speaking or slurred speech, temporary loss of vision in one eye, or drooping muscles in your face. these signal a transient ischemic attack (tia), which, if left untreated, may progress to a stroke.,if you have atherosclerosis in the arteries in your arms and legs, you may have symptoms of peripheral artery disease, such as leg pain when walking (claudication).,if you have atherosclerosis in the arteries leading to your kidneys, you develop high blood pressure or kidney failure.,'];"https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569"""
Arteriovenous fistula;['purplish, bulging veins that you can see through your skin, similar to varicose veins,swelling in the arms or legs,decreased blood pressure,fatigue,heart failure,', 'blueness of the skin,clubbing of fingers,coughing up blood,'];"https://www.mayoclinic.org/diseases-conditions/arteriovenous-fistula/basics/definition/con-20034876"""
Arteriovenous malformation;['in an arteriovenous malformation (avm), blood passes quickly from the artery to vein, disrupting the normal blood flow and depriving the surrounding tissues of oxygen.'];"https://www.mayoclinic.org/diseases-conditions/arteriovenous-malformation/symptoms-causes/syc-20350544"""
